trackId,length,width,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,14.14,2.1,0,796,797,truck,2,88.03,2.42,4.14,3.3,6.41,2.44,6.5,0
2,3.08,1.35,0,668,669,car,2,65.92,1.72,3.79,2.98,1.35,0.77,4.2,0
3,3.71,1.54,0,165,166,car,1,96.22,16.88,18.11,17.51,27.49,1.57,29.32,1
4,13.58,1.97,0,335,336,truck,2,41.72,1.97,4.78,3.71,3.38,1.67,-1.0,0
5,5.1,1.82,0,805,806,truck,2,90.64,1.77,5.11,3.38,3.67,1.42,14.55,0
6,14.25,2.02,0,504,505,truck,2,41.59,1.64,3.1,2.44,1.31,0.65,2.99,0
7,13.13,1.99,0,987,988,truck,2,120.06,1.86,6.7,3.7,1.72,0.64,4.02,0
8,3.68,1.5,0,58,59,car,2,10.54,5.35,5.45,5.41,4.99,0.93,-1.0,0
9,3.98,1.52,0,209,210,car,2,35.74,4.23,6.2,5.11,4.65,0.89,22.92,0
10,3.57,1.35,0,673,674,car,2,73.54,1.87,5.26,3.27,2.29,0.55,3.83,1
11,3.26,1.33,0,96,97,car,2,12.64,3.66,4.16,3.91,-1.0,-1.0,-1.0,0
12,3.64,1.48,0,259,260,car,1,127.16,14.16,15.46,14.73,12.3,0.86,7.82,0
13,4.09,1.54,0,320,321,car,2,52.95,1.98,6.93,4.91,4.69,1.96,26.82,0
14,4.13,1.54,0,498,499,car,2,70.84,3.01,5.97,4.26,3.86,0.96,15.49,0
15,3.64,1.43,0,169,170,car,2,33.41,3.95,6.38,5.71,7.99,1.47,49.88,0
16,4.91,1.72,0,1,2,car,1,0.53,0.0,15.72,7.86,-1.0,-1.0,-1.0,0
17,3.81,1.53,0,842,843,car,2,110.92,2.0,7.12,3.94,0.82,0.33,1.16,2
18,3.03,1.54,0,301,302,car,1,94.26,8.45,10.07,9.38,-1.0,-1.0,-1.0,3
19,14.03,2.66,0,181,182,truck,1,68.33,11.12,12.63,11.52,-1.0,-1.0,-1.0,0
20,3.55,1.44,0,498,499,car,2,58.57,1.62,5.72,3.53,1.5,0.52,1.93,1
21,4.06,1.66,0,249,250,car,2,104.3,12.28,12.76,12.49,-1.0,-1.0,-1.0,0
22,3.94,1.54,0,221,222,car,1,100.27,13.3,14.36,13.64,12.79,0.95,42.48,0
23,4.09,1.5,0,227,228,car,2,34.78,3.25,5.06,4.51,9.11,1.8,12.66,0
24,3.99,1.65,0,305,306,car,2,124.1,11.74,12.66,12.18,-1.0,-1.0,-1.0,0
25,3.71,1.5,0,276,277,car,2,46.78,3.24,6.59,5.02,11.51,2.3,18.85,0
26,3.86,1.39,0,810,811,car,2,134.08,2.51,6.72,4.99,3.97,0.96,7.69,0
27,4.09,1.54,0,583,584,car,2,84.09,3.05,6.16,4.34,8.32,2.27,15.79,0
28,3.75,1.54,0,280,281,car,2,53.92,4.36,7.02,5.77,6.26,1.29,5.4,0
29,3.86,1.46,0,446,447,car,2,82.09,4.23,6.6,5.57,10.69,1.62,16.39,0
30,4.02,1.46,0,934,935,car,2,135.64,2.88,6.04,4.36,2.85,0.61,18.6,0
31,3.41,1.31,0,90,91,car,2,15.02,4.96,5.89,5.23,-1.0,-1.0,-1.0,0
32,4.24,1.5,0,755,756,car,2,123.04,2.6,6.53,4.91,4.01,1.2,5.61,0
33,4.88,2.14,0,270,271,truck,1,124.56,13.5,14.23,13.89,18.45,1.31,47.95,0
34,3.98,1.52,0,142,143,car,2,25.48,5.01,6.6,5.54,4.88,0.93,8.96,0
35,3.98,1.54,0,373,374,car,2,53.68,2.68,5.93,4.3,3.23,1.2,-1.0,0
36,4.05,1.57,0,115,116,car,1,63.11,16.18,16.6,16.44,-1.0,-1.0,-1.0,0
37,3.94,1.48,0,607,608,car,2,91.44,2.88,6.06,4.54,5.74,1.55,7.64,0
38,3.9,1.57,0,33,34,car,2,1.71,1.55,1.55,1.55,-1.0,-1.0,-1.0,0
39,4.13,1.54,0,317,318,car,1,130.78,11.96,12.71,12.37,27.97,2.34,27.83,1
40,3.71,1.5,0,738,739,car,2,113.19,3.18,6.88,4.61,7.09,1.66,18.85,0
41,3.86,1.5,0,805,806,car,2,125.14,3.3,7.06,4.68,7.24,1.66,26.88,0
42,3.75,1.43,0,440,441,car,2,72.09,3.05,6.88,4.93,5.29,1.46,7.51,0
43,3.59,1.6,0,165,166,car,1,57.98,10.06,10.7,10.52,-1.0,-1.0,-1.0,3
44,3.94,1.54,0,225,226,car,1,94.14,12.48,12.69,12.59,11.92,0.95,-1.0,0
45,4.05,1.48,0,526,527,car,2,79.67,2.9,6.59,4.56,3.86,1.19,-1.0,0
46,3.94,1.5,0,59,60,car,2,11.62,5.07,5.83,5.56,-1.0,-1.0,-1.0,0
47,3.98,1.52,0,8,9,car,2,1.54,5.77,5.77,5.77,-1.0,-1.0,-1.0,0
48,3.94,1.65,0,294,295,car,1,136.8,13.08,14.57,13.96,7.57,0.58,33.83,1
49,9.23,2.02,0,237,238,truck,2,18.41,1.99,2.95,2.38,1.39,0.64,2.35,0
50,3.94,1.5,0,450,451,car,2,62.46,2.82,5.66,4.14,4.39,1.5,29.24,0
51,3.9,1.5,0,899,900,car,2,100.74,1.55,5.32,3.38,4.12,1.61,6.98,0
